"rgn_id","year","factor"
2102,2021,0.5
2102,2022,0.5
2102,2023,0.5
2102,2020,0.5
2102,2024,0.5
12401,2021,0.5
12401,2020,0.5
12401,2023,0.5
12401,2022,0.5
12401,2024,0.5
6205,2021,0.5
6205,2020,0.5
6205,2022,1
6205,2023,1
6205,2024,1
4301,2020,0.25
4301,2023,0.25
4301,2024,0.25
4301,2022,0.25
4301,2021,0.25
5403,2021,0.25
5403,2022,0.5
5403,2023,0.5
5403,2024,0.5
5403,2020,0.25
6206,2023,0.25
6206,2021,0.25
6206,2024,0.25
6206,2022,0.25
6206,2020,0.25
7203,2024,0.5
7203,2022,0.5
7203,2021,0.5
7203,2020,0.5
7203,2023,0.5
8107,2020,0.5
8107,2021,0.5
8107,2022,0.5
8107,2023,0.5
8107,2024,0.5
6201,2020,0.5
6201,2023,0.5
6201,2024,0.5
6201,2022,0.5
6201,2021,0.5
12301,2024,0.25
12301,2023,0.25
12301,2022,0.25
12301,2020,0.25
12301,2021,0.25
12302,2022,0.25
12302,2024,0.25
12302,2021,0.25
12302,2020,0.25
12302,2023,0.25
5105,2024,0.5
5105,2020,0.5
5105,2023,0.5
5105,2022,0.5
5105,2021,0.5
10101,2022,1
10101,2020,1
10101,2023,1
10101,2021,1
10101,2024,1
10109,2023,0.5
10109,2020,0.5
10109,2022,0.5
10109,2024,0.5
10109,2021,0.5
12101,2021,1
12101,2020,1
12101,2023,1
12101,2024,1
12101,2022,1
10206,2020,0.25
10206,2024,0.25
10206,2023,0.25
10206,2022,0.25
10206,2021,0.25
10303,2023,0.25
10303,2024,0.25
10303,2020,0.25
10303,2021,0.25
10303,2022,0.25
10207,2020,0.5
10207,2023,0.5
10207,2021,0.5
10207,2024,0.5
10207,2022,0.5
10208,2021,0.25
10208,2024,0.25
10208,2022,0.25
10208,2020,0.25
10208,2023,0.25
10209,2020,0.25
10209,2022,0.25
10209,2024,0.25
10209,2023,0.25
10209,2021,0.25
10210,2021,0.25
10210,2024,0.25
10210,2020,0.25
10210,2023,0.25
10210,2022,0.25
5107,2023,0.5
5107,2022,0.5
5107,2021,0.5
5107,2024,0.5
5107,2020,0.5
10305,2022,0.25
10305,2023,0.25
10305,2024,0.25
10305,2021,0.25
10305,2020,0.25
9116,2023,0.5
9116,2024,0.5
9116,2021,0.5
9116,2020,0.5
9116,2022,0.5
5601,2024,0.5
5601,2023,0.5
5601,2022,0.5
5601,2021,0.5
5601,2020,0.5
12104,2024,0.25
12104,2023,0.25
12104,2022,0.25
12104,2020,0.25
12104,2021,0.25
10306,2023,0.5
10306,2020,0.25
10306,2022,0.25
10306,2021,0.25
10306,2024,0.5
8108,2020,0.25
8108,2024,1
8108,2021,0.25
8108,2023,1
8108,2022,0.5
5606,2020,0.25
5606,2022,0.5
5606,2021,0.5
5606,2024,0.5
5606,2023,0.5
8110,2022,1
8110,2020,1
8110,2021,1
8110,2023,1
8110,2024,1
2104,2021,0.25
2104,2020,0.25
2104,2022,0.25
2104,2023,0.25
2104,2024,0.25
9117,2022,0.5
9117,2020,0.5
9117,2021,0.5
9117,2024,0.5
9117,2023,0.5
12303,2024,0.1
12303,2020,0.1
12303,2021,0.1
12303,2023,0.1
12303,2022,0.1
8207,2024,0.25
8207,2023,0.25
8207,2021,0.25
8207,2020,0.25
8207,2022,0.25
2301,2023,0.25
2301,2022,0.25
2301,2024,0.25
2301,2020,0.25
2301,2021,0.25
9118,2024,0.5
9118,2020,0.5
9118,2023,0.5
9118,2022,0.5
9118,2021,0.5
8111,2021,1
8111,2020,1
8111,2022,1
8111,2024,1
8111,2023,1
12402,2020,0.5
12402,2021,0.5
12402,2022,0.5
12402,2023,0.5
12402,2024,0.5
11303,2023,0.5
11303,2024,0.5
11303,2022,0.5
11303,2021,0.5
11303,2020,0.5
14101,2020,1
14101,2021,1
14101,2023,1
14101,2024,1
14101,2022,1
5101,2020,1
5101,2021,1
5101,2022,1
5101,2024,1
5101,2023,1
7309,2020,0.5
7309,2021,0.5
7309,2022,0.5
7309,2023,1
7309,2024,1
5109,2020,0.5
5109,2021,0.5
5109,2022,0.5
5109,2023,0.5
5109,2024,0.5
5405,2020,0.5
5405,2021,0.5
5405,2022,0.5
5405,2023,0.5
5405,2024,0.5
